,Titles,Contents,Links
15,Creator of Google Wallet sells his startup for $365 mn to GoDaddy,"Google Wallet creator Osama Bedier, who left Google to pursue ""other opportunities"" in 2013, has sold his startup Poynt for $365 million to GoDaddy. Bedier, who is also Poynt's CEO, will join the GoDaddy leadership team and lead a new commerce division. The transaction is expected to close in the first quarter of 2021, GoDaddy said on Tuesday.",https://inshorts.com/en/news/creator-of-google-wallet-sells-his-startup-for-$365-mn-to-godaddy-1608108752536
16,Facebook to move UK users to California terms in Brexit response,"Facebook will shift its United Kingdom users to user agreements with its corporate headquarters in California, moving them out of their current terms with Facebook's Irish unit and Europe's privacy laws. The change will take effect next year and follows a similar move by Google announced in February. ""Facebook has had to make changes to respond to Brexit,"" it said.",https://inshorts.com/en/news/facebook-to-move-uk-users-to-california-terms-in-brexit-response-1608104609647
17,Cong mayor candidate loses by 1 vote to BJP opponent in Kerala local body polls,"Congress mayoral candidate N Venugopal lost to BJP candidate by one vote in Kochi Corporation North Island ward in Kerala's local body elections. ""There was problem with the voting machine. That may be reason for BJP's victory,"" Venugopal said. ""I haven't decided to go to court with the voting machine issue so far. Will check what happened exactly,"" he added. ",https://inshorts.com/en/news/cong-mayor-candidate-loses-by-1-vote-to-bjp-opponent-in-kerala-local-body-polls-1608104028460
18,"Delhi to witness cold day, cold wave on Thursday and Friday: IMD","The India Meteorological Department (IMD) has predicted both cold day and cold wave in Delhi on Thursday and Friday. The minimum temperature is likely to remain around 5°C till Friday, as per the IMD. Delhi witnessed dense fog on Wednesday morning as the minimum temperature was 5.8°C. The visibility dropped to 100 metres in the Palam area, the IMD said. ",https://inshorts.com/en/news/delhi-to-witness-cold-day-cold-wave-on-thursday-and-friday-imd-1608111366652
19,Three shot dead over land dispute at Haryana's Karnal,"Three people were killed and one suffered bullet injuries after two groups exchanged fire over land dispute in Haryana's Karnal district on Wednesday. The groups were fighting over installation of electricity poles on a disputed land. Out of the three, two died on spot while one was declared dead at the hospital. Thirty people have been named as accused.",https://inshorts.com/en/news/three-shot-dead-over-land-dispute-at-haryanas-karnal-1608111730318
20,Missing minor girl's skeleton recovered from construction site in Rajasthan,"The skeleton of a 16-year-old girl, who was missing since last two months, was discovered in an under-construction house in Sri Ganganagar district in Rajasthan on Tuesday. The body was discovered by one of the labourers working at the site. Victim's mother has filed a case against a young man, accusing him of luring and abducting her daughter.",https://inshorts.com/en/news/missing-minor-girls-skeleton-recovered-from-construction-site-in-rajasthan-1608111884455
21,Singapore investigates posts supporting Indian farmers' protest,"Singapore Police on Tuesday said it's investigating posts on social media showing people gathering in support of Indian farmers in the country. The police added that they haven't granted any permit ""for these cause-based assemblies"". ""Those who break the law will be dealt with firmly, and this may include termination of visa or work passes, where applicable,"" police further said.",https://inshorts.com/en/news/singapore-investigates-posts-supporting-indian-farmers-protest-1608103815671
22,Yemen at highest risk of humanitarian catastrophe in 2021: IRC,"International Rescue Committee (IRC) on Wednesday warned that Yemen is at the highest risk of a humanitarian catastrophe in 2021, for the third year running. Widespread hunger, continued conflict and the tumbling of international aid dramatically worsen the current crisis in Yemen, IRC said. Twenty-four million people in the region now require humanitarian aid, IRC aid director for Yemen said.",https://inshorts.com/en/news/yemen-at-highest-risk-of-humanitarian-catastrophe-in-2021-irc-1608106781964
23,Happy that 'lawless' Trump is leaving White House: Iran President,"Calling US President Donald Trump ""lawless"" and a ""terrorist"", Iranian President Hassan Rouhani on Wednesday said that he is happy that Trump is leaving the White House. However, Rouhani added that he was not ""overjoyed about Mr. Biden's arrival"". US President-elect Joe Biden is set to take office on January 20 as the 46th president of the United States. ",https://inshorts.com/en/news/happy-that-lawless-trump-is-leaving-white-house-iran-president-1608109882428
24,Donald Trump still pursuing election litigation: White House,"White House Press Secretary Kayleigh McEnany on Tuesday said that US President Donald Trump is ""still pursuing ongoing litigation"" related to the November 3 presidential election. The comments came a day after the Electoral College formally confirmed Joe Biden's victory over Trump in the elections. McEnany described the Electoral College vote as just ""one step in the constitutional process"". ",https://inshorts.com/en/news/donald-trump-still-pursuing-election-litigation-white-house-1608109210476
